user_id,event_id,label_interested,label_not_interested
1,6036,0,0
1,4685,0,0
1,8005,1,0
1,9666,0,0
1,4312,0,0
1,4773,0,0
2,7402,0,0
2,457,1,0
2,13120,1,0
2,342,0,0
2,2483,1,0
2,2555,0,0
2,8827,0,0
4,2926,1,0
4,1888,0,0
4,3462,0,0
4,4422,0,0
4,6031,0,0
4,13205,0,0
7,12160,0,0
7,4679,0,0
7,8137,0,0
7,3806,1,0
7,7678,0,0
7,10761,0,0
8,3986,0,0
8,1809,0,0
8,6095,0,0
8,2447,0,0
8,111,1,0
8,259,0,0
9,12349,1,0
9,10967,1,0
9,11881,0,0
9,298,0,0
9,7557,0,0
9,5461,0,0
9,2819,1,0
9,1385,1,0
9,6954,0,0
9,2967,0,0
9,454,0,0
9,12669,0,0
9,12512,0,0
9,5232,0,0
10,2338,1,0
10,2558,0,0
10,3288,0,0
10,13075,0,0
10,12371,0,0
10,3321,1,0
12,5649,0,0
12,2967,0,0
12,3055,0,0
12,1350,0,0
12,11853,0,0
12,10166,1,0
13,2508,0,0
13,2550,1,0
13,7333,1,0
13,7613,0,0
13,12329,0,0
13,2014,0,0
13,13086,1,0
16,12817,0,0
16,11841,1,0
16,9932,0,0
16,11309,0,0
16,961,0,0
16,13413,0,0
18,564,0,0
18,7597,0,0
18,72,0,0
18,12815,0,0
18,7475,0,0
18,2530,1,0
19,8766,1,0
19,10126,0,0
19,4203,0,0
19,8218,0,0
19,2904,0,0
19,9405,0,0
20,2117,0,0
20,2259,1,0
20,10445,0,0
20,8559,0,0
20,6716,0,0
20,4256,0,0
21,8793,1,0
21,4312,1,0
21,8005,1,0
21,6766,1,0
21,13040,0,0
21,3279,0,0
21,2528,1,0
21,11687,0,0
21,6625,0,0
21,8711,0,0
21,4773,1,0
21,2667,1,0
21,11380,1,0
21,3216,1,0
21,2967,1,0
21,6297,0,0
21,8811,0,0
21,5522,0,0
21,12465,0,0
21,7570,0,0
21,4999,1,0
23,5831,0,0
23,8299,1,0
23,8808,0,0
23,3819,0,0
23,3840,0,0
23,4094,0,0
24,4312,0,0
24,4999,1,0
24,2967,1,0
24,3096,0,0
24,8005,0,0
24,4773,1,0
24,2530,0,0
24,6080,0,0
24,3216,1,0
25,2849,1,0
25,10121,0,0
25,12281,0,0
25,13324,0,0
25,1708,0,0
26,9270,0,0
26,11709,0,0
26,2994,1,0
26,9090,0,0
26,12862,0,0
26,8386,0,0
29,5706,0,0
29,96,0,0
29,170,0,0
29,475,1,0
29,8200,0,0
30,1988,0,0
30,3611,0,0
30,6069,0,0
30,13038,0,0
30,8247,1,0
30,4537,0,0
32,8957,1,0
32,8317,0,0
